Reviewer Name,Review Text,Review Date,Star Rating
Christopher Mongeon,One of the best pizzas I’ve ever had! A must if you’re in NYC 🍕 …,10 months ago,5
Fabio Pizzuto,Very good pizza. Great crust. A bit pricey (for non-basic pizzas) but at least cards are accepted. Good job,a year ago,4
Sophie Farrell,Best pizza in nyc currently. The taste; so yummy; cheese is creamy buttery; the size and weight.. its big and hefty but also light; airy; crunchy and chewy. the price; its a steal. just everything about this place is great. I need it in queens.,a year ago,5
Biagio Gulino,The pizza is really really good has a great crispy crust my go too slice is the squared upside down it has a delicious garlic marinara sauce which of course is made in house along with all the other sauces they have it's a must have!!!!!!,2 years ago,5
Q R Conley,I’m so happy to see this place survived Covid. We stopped in on Saturday for the square pepperoni pizza and just as we remembered from 2019; it was super delicious. We also had the white pizza square and a pizza roll (which had tons of meat). Can’t wait to return for more!,3 years ago,5
Adriano Caruso,Exactly what I think of when imagining the perfect new york slice. Got the vodka sauce and pep square. Crust is perfect and flavour is all there,a year ago,5
Sean Torres,I am a simple man. Having last visited NY in 2006 before life had me occupied and far away from the city that I was born in. …,2 years ago,5
Erin Howell,Great pizza! Friendly staff. This review would be 5 stars if the tables were cleaner and the drink machine was better serviced. I would recommend this place if you’re looking for New York pizza!,2 years ago,4
dave I,12/8/23 first time here. Good pizza. Went 50/50 with Margarita and BBQ chicken slices. Both good.,11 months ago,4
ramahawk 13,Good slices; but they were out of pepperoni when I stopped by. The white/vodka pizza was superior; though.,2 months ago,4
Fiona Ha,Tried regular slices today. No complaint baked to perfection. Will def return to try other recommended flavors.,a year ago,5
NYC Guide,Great spot! They have a cash discount if your a tourist or going to local museums this is a great New York pizza spot. Anywhere you see using Grande Cheese you know its worth the extra price.,a year ago,5
Tanner Schenewark,Had the spicy pepperoni delivered. It was delicious. Perhaps not my top pizza in the city; but the delivery was fast; the pizza was delicious and I will definitely be ordering again. …,2 years ago,5
Luiz Teixeira,In our humble opinion; the best pizza we have ever had in the world! Went back many times after trying others way more expensive; and each time consistently excellent.,3 months ago,5
Josh Kass,Excellent NY 'Za. In the West Side this place just mastered the perfect recipe. Great pie choices; and both thick and thin crust. Excellent food!! And away from all the noise of downtown.,a year ago,5
Melissa Mathis,Pizza was great. They offered gluten free which is a plus for me when I have celiac. They even put my own pizza cutter in the box to keep from cross contamination. Loved this place.,3 years ago,5
Tom Bab,Slice pizza goooood;  garlic knots delicious. Hungry after drinks ? This is the place ! Delicious 😋 …,2 months ago,5
Ehud R.,Delicious pizza (especially the vodka pizza); reasonably priced. Sitting area is so-so; but you can always just order as a takeaway.,a year ago,4
Jennifer Conrad Seekamp,Meh pizza. Good cheese to sauce ratio but was over cooked so crust had a burnt taste. Caesar salad was disappointing as it was mostly romaine hearts- no leaves- and a package of Ken’s dressing. Fast Doordash delivery for a Saturday night so that was 😎. …,a year ago,3
Todd Barnes,Amazing pizza in the neighborhood! Cant go wrong with a slice here and the spicy pepperoni is amazing!,10 months ago,5
Jacqueline Boone,Visiting from Virginia; stopped here for lunch- only 2 blocks from the Natural History Museum. My 9 year old said; “this is the best pizza of my life” and he is quite the pizza connoisseur. Affordable; fast and delicious. Kid friendly place; also serving adult beverages for the parents.,9 months ago,5
Y C,Decent pizza I wouldn't say it's bad but it's not the best I had. My Barstool rating would be 7.7,2 years ago,4
Mike Foster,The Best pizza I have ever ever eaten bye bye #home town favorite,9 months ago,5
Pip Beidler,I accidentally dropped all of our pizza; and they replaced it free of charge without thinking. They were wonderful people with great pizza !!,a month ago,5
Austin D'souza,Fantastic NY pizza! The rectangle pepperoni; bbq and Buffalo pizzas were delicious; however they all looked pretty good. Sprinkle some parmesan on there and youre good to go! Reasonably priced!,a year ago,5
Macarena Riquelme,It was delicious and an amazing experience overall The only thing that I can say is that the vodka sauce pizza had a little bit much of oil; but it was excellent still. Their margarita pizza and the mushroom …,9 months ago,5
Kristen Wall,First visit to NYC and wanted to find a good pizza place that wasn't a tourist trap so I extensively read reviews before deciding on Made In New York Pizza and it did NOT disappoint; simple but delicious; thin but not hard crust; just the right amount of chewy; and the garlic knots were incredible.,2 years ago,5
Bonnie Hunt,The pizza is very good. The crust was nice and crisp. They have such a big variety.  Service was pretty quick. It gets crowded; so go early.,6 months ago,4
Aimee Mihalko,Ordered a slice to go (sausage and pepperoni). It was my first time. Service was very good. However I thought a slice and a bottle of Sprite for $9.50 was a bit too high. Well; it wasn’t. The toppings were incredibly fresh and delicious. …,11 months ago,5
Jane Doe,I always come here to get my pizza on my lunch break from work . The people are nice and the employees are a delight : You won’t be disappointed with the pizza,a year ago,5
Ann Davis,Calzone was rushed; but still delicious. Their Grandma's pizza is authentic.,a month ago,5
lino guglielmo,The location is clean and has two tables and window space with area to eat standing .Siciliana pizza with half pepperoni & sausage toping was cooked well done as requested it was tasty but could have used slightly more sausage. There are …,8 months ago,4
Crimson Legacy,Great authentic New York Pizza  place. Very clean interior and quick service. Couldn't wish for any more!,2 years ago,5
Jessi Scott,Great pizza by the slice!! Was in and out in 10 minutes. I had the pepperoni and sausage and a slice of the Margherita. Both were delish. Their garlic knots are also dope. Slices are huge. I ate 1.5 and ate the rest the next day.,3 years ago,5
Trinity R.,Great pizza. Got the vodka and Margherita. Casual and comfortable place to sit and eat.,3 months ago,5
Xo,Awesome pizza 🍕; garlic knots and great customer service 🙏🏽🤌🏼Merry Christmas 🎄 guys! …,10 months ago,5
Taren Ikea,Delicious pizza with a variety of options and fair prices. Definitely recommend!!,3 months ago,5
Dilruba Parveen,Great pizza! The NY cheese slice and buffalo chicken was our favorite,3 months ago,5
Jay Marietti,What a good slice!  I burnt the roof of my mouth a little because I couldn't WAIT.  Such a nice undercarriage on that pizza.  The sauce to cheese ratio was perfect.  I did my research before I went to NYC and this place did not disappoint.,8 months ago,5
Luca Bardelli,All in all good pizza; and I say it as an Italian .. the seat is there and you are served in a short time .. I recommend,2 years ago,4
Ken Hom,Delicious! If you like a cheesy slice with nice sauce and crusty crust... This is for you! MINY pizza don't skimp on flavor! I also definitely recommend the garlic knots too; OMGosh!,2 years ago,5
Donald Macleay,Great selection of slices.  Served quickly in a friendly manner.  Look out for the price of bottled water.  Two different slices with multiple toppings and water was 15 bucks,2 years ago,4
M L,Had the pepperoni and it was exactly what I was looking for. Classic NYC pizza. Really liked the sauce. Fast service. Plenty of options for toppings.,a year ago,5
Graham Vance,Stopped here for a slice at dinner. They do squares and traditional slices. The square slice was a spicy pepperoni. The crust was nicely cooked. The pepperoni was plentiful and tasty. …,a year ago,4
Aurélien Loyer,Nice experience 🍕 Possibility to select over multiples pizza slices. We earned point of lives yesterday night ! 👌 …,a year ago,4
Brajan Ilievski,Happened across this place by accident; but I'm happy I did. Slices are big; flavourful; and full of toppings. Crust is great too. The guys serving inside are chill and friendly. It was my favorite pizza place while on my trip in New York.,a year ago,5
Alejandra Gabriela Velasquez Orozco,Delicious you could order a pie or a slice I tried the barbecue; it was great. The price was good,2 years ago,5
Tyler Gomez,Very reliable slice. Both the regular and Sicilian slices were great.,3 months ago,5
Angela Aube,Best pizza I've had. Went for a third slice because I couldn't resist. I always start off at a new place with a slice of cheese to taste how the crust; sauce; and cheese mix without any toppings to sway the flavor. It was perfect and the …,a year ago,5
George Kenefati,“Better than Joe’s” - my gf,a week ago,5
Kripali Vikram,I had the mushroom slice. At under $5 a slice; it's well worth the price.,2 years ago,5
Adriana Oyarce,Such delicious pizza - not the friendliest staff but the pizza is so good I guess its fine. We’ve been eating here everyday on our trip. Will definitely miss it.,10 months ago,5
Libi Mirkin,I highly recommend trying this pizza in West Manhattan.  The pizzas are freshly made in a stone oven; resulting in a crunchy crust. The …,a year ago,5
Mayank Gupta,Randomly stumbled on this place and glad I did. The vodka slice was perfect with a very crisp crust.,a year ago,5
Steven Blount,This is a pizza shop. No nonsense when it comes to quality slices; sicilians and pasta. The pricing is great for the area; If you're getting a cheaper slice it'll likely not be of the same quality.  Staff were polite and engaging and kept …,a year ago,5
American Eagle,The price it’s very high 6$ for one slice pizza What,a month ago,4
ayikahS H,I used the app Too Good to Go and got three specialty slices of pizza for $4.99. Pictures are of the two slices that I didn’t eat. I appreciate that my pizza was hot and immediately ready for me to pick up. In addition; the one slice that I …,2 years ago,4
S. Bell,I ordered the upside down slice. Amazing! I'm big on pizza sauce and the sauce is actually flavorful. This is my new favorite pizza place. I'd take the train from Brooklyn just to get a slice. Don't forget to sprinkle some Parmesan and red pepper flakes on it! 👍🏽 …,a year ago,5
James H,This would be a great pizza if it had half the salt. I’ve literally never had saltier food in my life. I think somebody made a mistake with the recipe or something; it just tastes totally botched.,8 months ago,3
Nicole Louie,Decent pizza; we got the Sicilian pepperoni and the margherita slice. The pepperoni wasn’t very spicy and the sauce was too sweet,a year ago,4
Branden Cusolle,Definitely deserves the 4.7 stars. Looked for something with a high rating in the area and was not disappointed.,5 months ago,5
Lindy Louise,These guys don't know how to warm up pizza or; most importantly; garlic knots; without burning them. This would be the umpteenth time ordering garlic knots; specifically asking them not to burn them; only to get home and find out they are …,a year ago,
Nicholas Roth,I loved the Margharita pizza’s extremely flavorful tomato sauce and basil. I was not impressed by the regular pizza though— Patsy’s does that better. The crust is in a sweet spot for me— thin enough to make the meal light yet thick enough that the pizza stands up on its own.,a year ago,5
Danny Paulino,The garlic knots were amazing; and the food delivery is fast. Def come here for some good food 😸 …,2 years ago,5
Margaret “Maggie” Riseborough,I stopped here after just finding on google maps. I had the eggplant slice and the pepperoni slice. BOTH FANTASTIC. The red sauce is so fresh tasting. My boyfriend had the white slice with ricotta (pretty good) and the vodka slice and he loved that one! will come back,a year ago,5
Yevhen Karychkovskyi,Wow; that was the best pizza I've tried in NY!,a year ago,5
berkeley mcgregor,The pizza here is to die for. I would sell my soul for another taste of this delectable dinner. Get a cheese Sicilian slice if you want to feel reborn into an eating experience.,a year ago,5
Ryoji Yamada,Excellent plain pizza.  I’m 95% certain that this recipe was reverse-engineered from the Joe’s recipe.  They use more cheese which is a positive and the crust is a little thicker.  However the flavor of the sauce; cheese and crust are …,a year ago,5
Calder Russell,It was fantastic pizza; with phenomenal service!,4 months ago,5
Philip Vincent,Great dough....really great. The spicy pepperoni Sicilian style wasn't my cup of tea; but the traditional style was top notch. Sub par Coke from the dispenser (tasted really off) was disappointing on a crazy hot day. But; I wouldn't hesitate to get a pie from here.,2 years ago,4
Ashley Jax,This place was amazing. Visiting from Florida and we don’t have pizza like this there! it was so good I considered coming back a second time. I got the bbq chicken pizza. highly recommend.,a year ago,5
Diane King,I just had an A+ worthy mushroom and spinach slice.  The thin crust is very good for low-carb diets.  I've been here a few times before and will be back.,a year ago,5
Molly Theobald,By far the best pizza we had in New York. Excellent taste; great crust; and big slices. We went while the marathon was happening but that did not slow down service we got our slices very quickly. Definitely recommend this location,2 years ago,5
Ericktza Rodriguez,Husband and I drove out with our son for a day trip; we're from Mass; and we stopped for pizza here and it was AMAZING. So flavorful and don't even get me started on how good the garlic knots were! A must have if you're in the area.,2 years ago,5
Nick Felker,This quiet pizza place on the Upper West Side has some of the best pizza--it's cheesy and greasy while also avoiding a thick dry crust. It's not the cheapest for a slice; but you'll still eat well for about ten dollars.,a year ago,5
Charlie Russell,Pizza by the slice; you gotta love it! Lots of choices. They put your slice back in the oven to warm it up rather than just using a heat lamp. Fast service; patient with all the dumb questions,a year ago,5
Adam Croft Broxton,When  we visited NYC; went to Scarrs and here . Both incredible but very different.  I would return here first before Scarrs. It's very approachable ; affordable and delicious …,a year ago,5
Better Together Here,Quality pizza; quick service; and open late. What more can you ask for?  We recommend the upside down squares!,11 months ago,5
Brett Kemper,We had the cheese pizza and square spicy pepperoni pizza. Both were delicious. Also had the garlic knots and Caesar salad which were good; nothing special. Ordered online and food was ready on time. Would definitely have this again!,2 years ago,5
Chelsea Rodriguez,Best pizza ever. The buffalo chicken pizza didn’t have too much buffalo taste and it was the perf temp despite it being cold out. It was a really good price as well. There was a good amount of seating as well. Def recommend.,a year ago,5
David S,Pizza is pretty good; that's why i went there. But the service is beyond incompetent. They said come in 15 minutes.  I did. they said ready in 5 min.  i waited 10 …,a year ago,
Alessio Cianetti,Unhappy service..no smile...no polite. Pizza is avarange good The five stars reviews is comprised,2 years ago,3
Gio M,Great New York pizza; love it; and it's an Italian perspective😆😆👍 …,2 years ago,5
Meredith Frymire,YUM! Very quick & easy! Loved the crust and the convenience of this place! We had the pepperoni (yummy but greasy) slice & mushroom (not too greasy; great cheese pull) slice. Would recommend!,2 years ago,5
Krista Hopp,We were looking for some New York style pizza; and we found it! The pizza was great; and we also got some delicious garlic knots! We especially loved sitting outside on a warm September day.,2 years ago,5
John Dowling,Very happy to have found legit pizza on a quick NYC turn!,2 years ago,5
Albert Li,Ordered Pepperoni/Sausage and Mushroom slices.  The pizza was delicious; the crust was thin and crispy; toppings were good; right amount of sauce; and not dripping with oil (you know; when you fold and oil starts dripping out of the back.)  I would definitely get it again; I want to try their square slices.,3 years ago,4
Jason Green,I came in. Ordered two whole pizzas at $35 each and given a time frame that it would be ready in 15-20 min. Ok no problem.  I leave and come back in that time frame and was told it would be ready in 5 more min. Ok; no problem I leave again …,a year ago,
Guy Average,Stopped in yesterday. Menu said 5.00 for a  Margherita slice. The guy rang it up I was charged 5.92. I asked why the price was so high on the register. He said the menu prices are incorrect. Are you kidding? This place is a complete joke. Please leave our neighborhood.,a year ago,
Diana Chesk,One of the bests pizza places in NYC,a year ago,5
Udita Markovich,The folks working here are very welcoming and kind.   Pizza sauce was too sweet;  not your typical NY or NJ pizza.   It was also salty.  Other folks seemed to really like it.   I tossed it.,2 years ago,2
Hao Meng,We went here specifically to see Google reviews; let me tell you my feelings; the business is very good; the price is average; because I ordered a lot; and I packed it before I finished eating; that is to say: I only dealt with a paper bag …,a year ago,3
Kevin McCarty,Best slice we had in NYC.,a year ago,5
Scott Summers,Not a good place to go to if you want to enjoy a nice night of pizza with your family. Condescending workers and horrible pizza. Very unhappy. F-,a year ago,
Lauren Irick,Solid and FRESH pizza place in NYC. Quick; easy; and also have a bathrooms. Also a large drink selection - alcoholic and non,8 months ago,5
Ruben Reyes,What a New York slice should taste like.,2 months ago,5
Alejandro Raines,The eggplant parm square slice is the best slice I’ve ever had; every time. Dare I say it is godly; extraterrestrial; hallucinogenic,a year ago,5
Doug Montgomery,Excellent pizza; I should have ordered another slice.  It was uncomfortably warm inside; but using the tables outside was nice.,a year ago,4
Elisa Seidman,Slice of pepperoni was too thin; not hot even after being in your oven; really oily with no Italian flavor.  My husband said it was the worst pizza he ever had.  He had to gargle when he came home.,a year ago,
Joel Nowak,So far; the best pizza we found in New York! Thin; crispy crust with good flavors. Absolutely recommend trying this place 👍 …,a year ago,5
Heather O'Keeffe,Really good pizza by the slice. They heat the pizza up in a proper pizza oven until it’s piping hot. Glad we chose here for our NYC pizza experience!,a year ago,5
Kurt Jensen,Best slice in the neighborhood by far.,9 months ago,5
sjohnston267,Forced gratuity will always equal one star,5 months ago,
Nestle MoNai,really good pizza. i’m not sure if their ingredients are clean; probably not; but i’ll order again when i want “junk food/bad for you” pizza. the one thing that threw me off was they used red peppers as a topping instead of green. flavors would be so much better with green peppers.,3 years ago,4
Willa Stewart,Great pizza! Friendly staff. Super clean place. I would recommend this place if you’re looking for New York pizza!,a year ago,5
Latin In Manhattan,Friendly cash out the mini pepperoni corner scil slice is to die for white cheese is delish I thinkl the tomato sauce on the scillian is very different than the regular slice I love the scillian sauce makes me think momma is in the kitchen …,2 years ago,5
Moeena M,Delish pizza!!! Have some seating inside and was pretty fast service despite how busy they were definitely recommend the Margherita,a year ago,5
Bradley Cutter,Very good pizza at reasonable prices,5 months ago,5
Dave Lindsay,I like their pizza; but was incredibly disappointed that they sent this out for delivery. Why? I hope someone reads their Google reviews. It’s about the best pizza on the UWS..,2 years ago,4
nkosch,Best pizza I had all day!,2 years ago,5
Kavya Rajesh,Pizza was delicious; I loved the crust especially. Well worth the money,a year ago,5
Мария Чуперка,Great place in a few minutes from central park; delicious pizza for every taste and preference ; time of waiting is pretty fast; just order it and in a few minutes enjoy your choice,2 years ago,5
Jill Weiss,Best pizza around! Come here every time I’m on the UWS for delicious pizza. My husband and I LOVE IT here!,2 years ago,5
Anastasja Moynihan,So good! Really enjoyed their pizza;especially the Margherita & tiny pepperoni pizza slice.,2 years ago,5
Samuel Ballinger,Vodka Slice was genuinely the best pizza slice I've ever had worldwide.,a year ago,5
Shargeel Hayat,Best pizza of my life.,4 months ago,5
Dante Gutierrez,Best pizza in NYC by far!,9 months ago,5
John,My favorite neighborhood pizza joint.,a year ago,5
Olya Pryydun,I recommend visiting this pizzeria. Very delicious food and very friendly workers. Clean and cozy cafe. I recommend visiting this pizzeria. Delicious food and very friendly employees. Clean and cozy cafe.,3 months ago,5
Tschui,Of all the New York pizza I've had; this one impressed me the least. Too much cheese and half of the toppings were burnt. But it tasted okay. Probably wouldn't come back.,4 months ago,3
Kerstin Krygier,Hot; cheap & not really healthy (a lot of fat drips from the pizza) good selection served on paper plates,5 months ago,4
Bryan P. R.,Our first pizza in New York meets expectations; quite good.,5 months ago,5
Afra Doma,Fast service; flavor and plenty of ingredients. We bought 2 each and were full after the first one. We ordered 4 different types; one of which was very good.,4 months ago,5
Maria Evelia Basurto Lopez,Delicious pizzas are all there to enjoy. Congratulations to the chefs,10 months ago,5
Dan Forsström,A very basic pizza slice place.,2 months ago,4
peter bosanac,A must in New York. Super tasty pizzas and absolutely ok in terms of price.,2 years ago,5
Andy Lee,Great tasty American pizza :) Price/performance ratio is good.,a year ago,5
mirza matos,Delicious pizza. I LOVED IT.,a month ago,5
Angelo Martello,Average takeaway pizza. The most practical solution to satisfy your hunger while traveling around NY,2 months ago,5
